"№","Bosqich","Ekran / Komponent","Foydalanuvchi harakati","Tizim / Backend logikasi","UI/UX dizayn (Apple-style)","Holatlar (Loading / Empty / Error)","Maqsad / KPI","Xavf va eslatma"
"13","B. Asosiy sikl","Sizni kim yoqtirdi (Likes You)","Sizni yoqtirganlar ro'yxatini ko'radi","Pending-likes ro'yxati; Gold bo'lmasa rasmlar xira (blur)","Grid, xira kartalar ustida 'Gold bilan ko'r' CTA","Empty: 'Hali yoqtirish yo'q'","Gold monetizatsiyasining asosiy haydovchisi","Blur darajasi — qiziqish uyg'otadigan, lekin spam emas"
"14","B. Asosiy sikl","Moslik (Match)","Ikkala tomon yoqtirganda chiqadigan oyna; 'Suhbat boshlash' yoki 'Davom etish'","Match yaratiladi, chat kanali ochiladi; ikkala tomonga push","To'liq ekran blur fon, ikki rasm markazga birlashadi (elastik), kuchli 'impact' haptik","—","Dopamin mukofoti; chatga o'tish","Match bo'lsa ham telefon/username avtomatik oshkor qilinmasin"
"15","C. Aloqa","Chat ro'yxati (Matches)","Barcha match va suhbatlar ro'yxatini ko'radi","Oxirgi xabar, o'qilmagan soni, onlayn holat (Redis) ko'rsatiladi","iOS list, avatar + oxirgi xabar; yangi match yuqorida 'story' qatori","Empty: 'Birinchi suhbatni boshla' + svaypga qaytish","Retention; suhbatga qaytish","O'qilmagan badge push bilan sinxron"
"16","C. Aloqa","Chat oynasi","Matn, ovozli xabar yuboradi; video qo'ng'iroq (premium)","WebSocket real-time; xabarlar AI moderatsiya (tahqir/tahdid) orqali o'tadi; xabar shifrlangan saqlanadi","iMessage uslubidagi pufakchalar, typing indicator, ovozli to'lqin; ro'yxat oxirida rubber-band","Loading: tarix skeleton; Error: 'Yuborilmadi, qayta urin' retry","Xavfsiz aloqa hududi; uchinchi messenjerga ketishni kamaytirish","Real vaqtda tahqir/tahdid aniqlansa ogohlantirish->blok (zero-tolerance)"
"17","C. Aloqa","Chat ichida xavfsizlik","Bloklash, shikoyat qilish, ishonchli kontaktga ulashish","Blok->kanal yopiladi; report->moderatsiya navbatiga; share->vaqtinchalik joylashuv havolasi","Tepa-o'ng menyu (uch nuqta) glass sheet; muloyim, ayblovsiz til","Tasdiq: 'Bloklandi, sizga endi yoza olmaydi'","Foydalanuvchi xavfsizligi va ishonchi","Block qilingan ikkinchi tomonga bildirishnoma BORMASIN"
"18","D. Monetizatsiya","Obuna paywall (Plus/Gold/Platinum)","Tarif tanlash (haftalik/oylik/yillik)","Obuna Apple/Google IAP orqali (native) yoki Telegram orqali; status entitlement saqlanadi","3 ustunli karta, o'rtadagi 'mashhur' ajratilgan; yillik chegirma rozetka","Loading: to'lov jarayoni; Error: 'To'lov amalga oshmadi'","Takrorlanuvchi daromad; KPI: free->paid >5%","Bekor qilish jarayoni App Store qoidalariga 100% mos (aks holda reyting tushadi)"
"19","D. Monetizatsiya","Coin do'koni (Yurak tangalari)","Tanga paketi sotib oladi (Payme/Click/Uzcard/Humo)","Tanga = qaytarilmaydigan ichki kredit (e-pul EMAS); to'lov litsenziyali PSP orqali; balans yangilanadi","Paket kartalari, eng katta paket 'bonus' bilan; balans odometer animatsiyasi","Error: to'lov xatosi -> retry","Sovg'a iqtisodiyoti yoqilg'isi","TMA ichida tanga sotish Telegram siyosatiga (Stars majburiyati) zid bo'lishi mumkin — tekshirish shart"
"20","D. Monetizatsiya","Sovg'a katalogi va yuborish","Match bo'lganga virtual sovg'a yuboradi (gul, shokolad, yulduz, Olmos yurak)","Sovg'a faqat match+suhbat ochiq bo'lsa; balansdan yechiladi; oluvchiga push + chatda animatsiya","Sovg'a 3D/Lottie bo'lib chat bo'ylab uchadi; titrash haptik","Error: balans yetmasa -> Coin store","Emotsional rishta + daromad; whale segmenti","Sovg'a 'javobni sotib olish' emas, 'minnatdorlik' sifatida joylashtirilsin (madaniy)"
"21","D. Monetizatsiya","Real sovg'a buyurtmasi (MVP daromad modeli)","Virtual emas — hamkor gulchi/kafe orqali REAL gul/tort buyuradi","Buyurtma hamkorga yuboriladi (API/manual); platforma komissiya oladi; yetkazib berish manzili oluvchidan so'raladi (rozilik bilan)","Mahsulot katalogi, narx so'mda; 'Sovg'a yo'lda' kuzatuv","Empty: hamkor yo'q hududda -> virtual sovg'aga yo'naltirish","E-pul/AML/Apple muammosisiz qiymat o'tkazish; komissiya daromadi","Manzil faqat oluvchi roziligi bilan oshkor (xavfsizlik)"
"22","D. Monetizatsiya","Hamyon (Wallet)","Tanga balansi va (V2) yig'ilgan mukofotni ko'radi","Balans, tranzaksiya tarixi; V2: payout-ga tayyor summa","Shaffof glass interfeys, balans katta odometer raqamlar bilan","Empty: 'Hali tranzaksiya yo'q'","Shaffoflik; ishonch","V2 pul-yechish bu yerda — MVP'da faqat tanga balansi"
"23","D. Monetizatsiya","Pul yechish + KYC (V2 — keyingi faza)","Yig'ilgan mukofotni kartaga yechadi (litsenziyali PSP orqali)","Min chegara (masalan 100k); majburiy KYC (pasport+selfie); kunlik/oylik limit; AML shubhali faollik tekshiruvi; payout PSP payout-API orqali","Bosqichli wizard: 'Verifikatsiya -> Karta -> Tasdiq'; toza, ishonchli","Error: KYC fail -> qo'lda ko'rib chiqish; limit oshsa rad","Gifting economy yopiq sikli (V2)","O'ZINGIZ e-pul EMAS — litsenziyali PSP majburiy. Faqat qizlarga emas, har qanday tasdiqlangan faol userga"
"24","E. Profil & Sozlamalar","Profilni boshqarish","Rasm o'zgartirish, bio/prompt tahrirlash, niyat almashtirish","O'zgarishlar AI moderatsiyadan o'tadi; profil yangilanadi","iOS list dizayn, chevron-right; rasm grid drag-reorder","—","Shaxsiy vizitka sifati","Rasm o'zgartirilsa selfie-match qayta talab qilinishi mumkin (firibgarlikka qarshi)"
"25","E. Profil & Sozlamalar","Sozlamalar","Til, qora rejim, bildirishnoma, obuna boshqaruvi, hisobni o'chirish","Sozlamalar saqlanadi; hisob o'chirilsa ma'lumot GDPR/UZ qonuni bo'yicha o'chiriladi","iOS guruhlangan list; xavfli amallar (o'chirish) qizil","Tasdiq: 'Hisobni o'chirishni xohlaysizmi?'","Maxfiylik nazorati; qonuniylik","Foydalanuvchi ma'lumotini istalgan vaqt o'chirish huquqi (UZ qonuni)"
"26","E. Profil & Sozlamalar","Xavfsizlik markazi","Bloklanganlar ro'yxati, shikoyat tarixi, xavfsizlik maslahatlari","Bloklangan userlar ro'yxati; favqulodda kontakt sozlash","Toza list; 'Birinchi uchrashuv xavfsizligi' maslahat kartasi","Empty: 'Bloklangan hech kim yo'q'","Ishonch va xavfsizlik markaziy qadriyat","Strategiyadagi 'rozilik tizimi' shu yerda ko'rinadigan bo'lsin"
"27","F. Tizim (fon)","AI Moderatsiya servisi","(Foydalanuvchiga ko'rinmaydi)","Har bir rasm (NSFW/yuz), har bir matn (tahqir/tahdid/kontakt-almashinuvi) real-time tekshiriladi; signal->inson moderator navbati","—","Auto-flag -> blur/blok; murakkab holat inson moderatorga","Kontent xavfsizligi; brend himoyasi","False-positive balansi muhim — haddan ortiq bloklash userni haydaydi"
"28","F. Tizim (fon)","Trust Score","(Foydalanuvchiga qisman ko'rinadi — nishon)","Verifikatsiya + faollik + reportlar + match sifati asosida ball; matching navbatiga ta'sir qiladi","Profilda 'Ishonchli' nishon (raqam emas, daraja)","—","Sifatli userlarni ko'tarish; firibgarni pasaytirish","Ball shaffof bo'lmasin (gaming oldini olish), lekin nishon ko'rinsin"
"29","F. Tizim (fon)","Push bildirishnoma","Match, xabar, sovg'a, Boost tugashi haqida push","Event-driven push (Telegram bot / Firebase); chastota cheklangan","Qisqa, iliq matn; spam emas","—","Retention; qaytib kelish","Haddan ortiq push = unsubscribe. Kunlik limit qo'yilsin"
"30","F. Tizim (fon)","Referal va o'sish","Do'stni taklif qiladi, ikkalasi bonus tanga oladi","Unikal referal havola; ikki tomonlama bonus; fraud-check (bitta qurilma)","'Do'st chaqir' kartasi, ulashish tugmasi","—","Organik o'sish (eng arzon kanal)","Self-referral firibgarligiga qarshi qurilma/raqam tekshiruvi"
